"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 01:59:04 GMT 2023","Sun Oct 15 01:59:06 GMT 2023","1240","tests","test_women","TestWomenPage","","","TC 12.01.01 Check side panel title Shop By is visible","Check Shop By title is visible"
"broken","Sun Oct 15 01:13:32 GMT 2023","Sun Oct 15 01:13:37 GMT 2023","5134","tests","test_create_an_account","TestCreateAnAccount","","","test 04.02.02 create an account with empty first name"," Verify that customer can't Create An Account with empty first name"
"passed","Sun Oct 15 01:49:52 GMT 2023","Sun Oct 15 01:49:53 GMT 2023","1347","tests","test_men","TestMenPagePromoBlock","","","TC 14.06.33 Verify the visibility of 'Luma hoodies' promo block.","Verify that the block 'Luma hoodies' is displayed on the Men page"
"skipped","Sun Oct 15 01:22:32 GMT 2023","Sun Oct 15 01:22:32 GMT 2023","0","tests","test_footer","TestFooter","","","TC 02.01.48 - Check display of Subscribe Email Field on each page specified in DATA_1","Checks if Subscribe Email Field is visible on each page in DATA_1"
"broken","Sun Oct 15 01:21:36 GMT 2023","Sun Oct 15 01:21:42 GMT 2023","5403","tests","test_footer","TestFooter","","","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","Checks if Copyright section is present in the DOM tree on each page specified in DATA_1"
"broken","Sun Oct 15 01:21:33 GMT 2023","Sun Oct 15 01:21:33 GMT 2023","169","tests","test_footer","TestFooter","","","TC 02.01.32 - Check text of Write for us link on each page specified in DATA_1","Checks if text of Write for us link is correct on each page in DATA_1"
"broken","Sun Oct 15 01:12:59 GMT 2023","Sun Oct 15 01:13:04 GMT 2023","5128","tests","test_create_an_account","TestCreateAnAccount","","","TC 04_01_14 Verify Password input field highlighting on click"," Verify that Password input field highlighted when clicked"
"broken","Sun Oct 15 01:28:13 GMT 2023","Sun Oct 15 01:28:18 GMT 2023","5345","tests","test_gear","TestGearPage","","","test_tc_11_01_06","Check that watches is displayed and enabled"
"passed","Sun Oct 15 01:58:47 GMT 2023","Sun Oct 15 01:58:47 GMT 2023","409","tests","test_training","TestMainPage","","","TC 16.02.08 Check the cursor change to block training on demand","This test check the cursor change when hovering over the block training on demand"
"broken","Sun Oct 15 01:40:52 GMT 2023","Sun Oct 15 01:40:57 GMT 2023","5357","tests","test_header","TestHeader","","","TC 01.03.18 correctness of the ""Tops"" link of the ""Men"" section","Check 'Tops' subsection link click in 'Men' section redirects to the Tops-men page and         the 'Tops' header is displayed"
"broken","Sun Oct 15 01:15:06 GMT 2023","Sun Oct 15 01:15:11 GMT 2023","5375","tests","test_footer","TestFooter","","","TC 02.01.02 - Check Footer display on each page specified in DATA_1","Checks if Footer is visible on each page specified in DATA_1"
"broken","Sun Oct 15 01:42:33 GMT 2023","Sun Oct 15 01:42:38 GMT 2023","5338","tests","test_header","TestHeader","","","TC 01.03.12 correctness of the ""Bottoms"" link of the ""Women"" section","Check 'Bottoms' subsection link in 'Women' section click redirects to the Bottoms page and         the 'Bottoms' header is displayed"
"broken","Sun Oct 15 01:18:05 GMT 2023","Sun Oct 15 01:18:10 GMT 2023","5392","tests","test_footer","TestFooter","","","TC 02.01.20 - Check if Orders and Returns link is clickable on each page specified in DATA_1","This test checks if Orders and Returns link is clickable on each page specified in DATA_1"
