"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check the 'Bottoms' subsection in 'Women' section is displayed and the 'Pants' and 'Shorts'         subsections is displayed","2416","TC 01.03.11 display and interactivity of the ""Bottoms"" section of the ""Women"" section","tests","Sun Aug 17 01:36:59 UTC 2025","passed","Sun Aug 17 01:37:01 UTC 2025","TestHeader","test_header","",""
"Checks if Footer is visible on each page specified in DATA_1","1352","TC 02.01.02 - Check Footer display on each page specified in DATA_1","tests","Sun Aug 17 01:29:41 UTC 2025","passed","Sun Aug 17 01:29:42 UTC 2025","TestFooter","test_footer","",""
"Check that six elements in Women's Deals section are displayed and enabled","35","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","tests","Sun Aug 17 01:47:06 UTC 2025","passed","Sun Aug 17 01:47:06 UTC 2025","TestSalePage","test_sale","",""
"Check that link in section 1 is correct","2581","TC 13.02.01 - Check the section 1 link in the Promo Block leads to the correct page","tests","Sun Aug 17 01:43:41 UTC 2025","passed","Sun Aug 17 01:43:44 UTC 2025","TestMainPage","test_main_page","",""
"Check error on Failed Login with invalid credentials, case-sensitive password and password with spaces","1754","TC 03.02.02 to 03_02_10 Verify Error on Failed Login with invalid credentials","tests","Sun Aug 17 01:54:48 UTC 2025","passed","Sun Aug 17 01:54:49 UTC 2025","TestFailedLogin","test_sign_in","",""
"Check Sidebar Shop By title has correct text and is visible","148","TC 16.01.01 Verify Sidebar panel title Shop By is visible and contains text 'Shop By'","tests","Sun Aug 17 01:55:10 UTC 2025","passed","Sun Aug 17 01:55:11 UTC 2025","TestMainPage","test_training","",""
"Check error message on attempt to reset password with invalid captcha","0","TC 17.01.24 Verify Error on resetting My Password with invalid captcha","tests","Sun Aug 17 01:32:20 UTC 2025","skipped","Sun Aug 17 01:32:20 UTC 2025","TestForgotYourPasswordFunctionality","test_forgot_your_password","",""
"This test checks if Section 2 in Promo Block under header is displayed on the Main Page","7072","TC 13.01.09 - Check the display of Section 2 in the Promo Block","tests","Sun Aug 17 01:38:48 UTC 2025","broken","Sun Aug 17 01:38:55 UTC 2025","TestMainPage","test_main_page","",""
"Checks if Copyright text is present in the DOM tree on each page specified in DATA_1","1228","TC 02.01.35 - Check Copyright text is present in the DOM tree on each page specified in DATA_1","tests","Sun Aug 17 01:31:23 UTC 2025","passed","Sun Aug 17 01:31:24 UTC 2025","TestFooter","test_footer","",""
"Verify that text-2 in 'Luma shorts' block correctly displayed","0","TC 14.06.24 Verify that the 'Cool it now' text is visible.","tests","Sun Aug 17 01:45:37 UTC 2025","skipped","Sun Aug 17 01:45:37 UTC 2025","TestMenPagePromoBlock","test_men","",""
"Checks if 'Contact us' link is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.23 - Check 'Contact us' link is present in the DOM tree on each page specified in DATA_1","tests","Sun Aug 17 01:31:08 UTC 2025","skipped","Sun Aug 17 01:31:08 UTC 2025","TestFooter","test_footer","",""
"
            This test will check that the add to wishlist and add to compare buttons are visible on the screen
            ","11808","Check the display of the add to wish and add to compare buttons","tests","Sun Aug 17 01:37:58 UTC 2025","skipped","Sun Aug 17 01:38:10 UTC 2025","TestMainPage","test_main_page","",""
"Check hovering over the shopping cart icon changes the cursor to a ""hand,"" indicating that the cart is a         clickable element, click on it and the message ""You have no items in your shopping cart."" appears","1713","TC 01.02.05 display and interactivity of the cart icon","tests","Sun Aug 17 01:33:08 UTC 2025","passed","Sun Aug 17 01:33:10 UTC 2025","TestHeader","test_header","",""
"Checks if Copyright section is present in the DOM tree on each page specified in DATA_1","1271","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","tests","Sun Aug 17 01:31:10 UTC 2025","passed","Sun Aug 17 01:31:11 UTC 2025","TestFooter","test_footer","",""
"Check if 'Create an Account' button has correct link and is clickable","133","TC 03.01.22 Verify Create an Account button link","tests","Sun Aug 17 01:53:33 UTC 2025","passed","Sun Aug 17 01:53:33 UTC 2025","TestNewCustomers","test_sign_in","",""
"The test checks if the displayed captcha matches the entered value in the captcha field","0","TC 17.01.13 Verify displayed captcha matches the entered value in FYP captcha field","tests","Sun Aug 17 01:32:17 UTC 2025","skipped","Sun Aug 17 01:32:17 UTC 2025","TestForgotYourPassword","test_forgot_your_password","",""
"This test checks that the card is interactive","2515","TC 06.01.02 - verify the card is interactive on hover","tests","Sun Aug 17 01:37:17 UTC 2025","passed","Sun Aug 17 01:37:20 UTC 2025","TestMainPage","test_main_page","",""
"Check if Email field is appropriately labeled ","0","TC 17.01.11 Verify FYP captcha input field is appropriately labeled","tests","Sun Aug 17 01:32:17 UTC 2025","skipped","Sun Aug 17 01:32:17 UTC 2025","TestForgotYourPassword","test_forgot_your_password","",""
"
        Check that the 'Reload captcha' button generates a new captcha image
        and ensure the new image source is different from the original image source
        ","0","TC 17.01.16 Verify click Reload captcha button generates a new captcha image","tests","Sun Aug 17 01:32:17 UTC 2025","skipped","Sun Aug 17 01:32:17 UTC 2025","TestForgotYourPassword","test_forgot_your_password","",""
